State,Share
Rajasthan,10.55
Madhya Pradesh,9.37
Maharashtra,9.36
Uttar Pradesh,7.33
Gujarat,5.96
Karnataka,5.83
Andhra Pradesh,4.87
Odisha,4.73
Chhattisgarh,4.11
Tamil Nadu,3.95
Telangana,3.49
Bihar,2.86
West Bengal,2.7
Arunachal Pradesh,2.54
Jharkhand,2.42
Assam,2.38
Ladakh,1.8
Himachal Pradesh,1.7
Uttarakhand,1.62
Punjab,1.53
Haryana,1.34
Jammu and Kashmir,1.28
Kerala,1.18
Meghalaya,0.68
Manipur,0.68
Mizoram,0.64
Nagaland,0.5
Tripura,0.31
Sikkim,0.21
Goa,0.11
Delhi,0.04
Dadra and Nagar Haveli and Daman and Diu,0.01
Puducherry,0.01
Chandigarh,0.003
